"","Name","Pos","Team","kelly","FG Rank"
"1","ADLEY RUTSCHMANN","C","BAL",0.879,1
"2","BOBBY WITT JR","SS","KCR",0.849,2
"3","JULIO RODRIGUEZ","RF","SEA",0.899,4
"4","SPENCER TORKELSON","1B","DET",0.924,5
"5","RILEY GREENE","RF","DET",0.849,6
"6","FRANCISCO ALVAREZ","C","NYM",0.748,7
"7","ONEIL CRUZ","SS","PIT",0.596,8
"8","JOSH JUNG","3B","TEX",0.798,9
"9","GABRIEL MORENO","C","TOR",0.798,10
"10","ANTHONY VOLPE","SS","NYY",0.748,12
"11","NOELVI MARTE","SS","SEA",0.647,13
"12","CORBIN CARROLL","CF","ARI",0.748,14
"13","CJ ABRAMS","2B","SDP",0.722,15
"14","TRISTON CASAS","1B","BOS",0.798,16
"15","JORDAN WALKER","3B","STL",0.596,17
"16","MARCO LUCIANO","SS","SFG",0.697,18
"17","MARCELO MAYER","SS","BOS",0.672,19
"18","MJ MELENDEZ","C","KCR",0.747,21
"19","HENRY DAVIS","C","PIT",0.772,22
"20","ALEK THOMAS","LF","ARI",0.823,23
"21","BRENNAN DAVIS","RF","CHC",0.647,25
"22","LUIS CAMPUSANO","C","SDP",0.747,26
"23","NICK YORKE","2B","BOS",0.798,29
"24","JEREMY PENA","SS","HOU",0.874,30
"25","ORELVIS MARTINEZ","3B","TOR",0.697,32
"26","BRYSON STOTT","SS","PHI",0.798,34
"27","LUIS MATOS","CF","SFG",0.646,35
"28","TYLER SODERSTROM","1B","OAK",0.798,36
"29","DIEGO CARTYA","C","LAD",0.546,37
"30","OSWALD PERAZA","SS","NYY",0.747,39
"31","COLTON COWSER","CF","BAL",0.647,40
"32","BRAYAN ROCCHIO","SS","CLE",0.697,43
"33","RONNY MAURICIO","SS","NYM",0.596,44
"34","JOSH LOWE","CF","TBR",0.748,45
"35","NICK PRATTO","1B","KCR",0.671,47
"36","CURTIS MEAD","LF","TBR",0.672,48
"37","KAHIL WATSON","SS","MIA",0.546,49
"38","ROBERT HASSELL III","CF","SDP",0.596,50
"39","NOLAN GORMAN","3B","STL",0.704,53
"40","VIDAL BRUJAN","2B","TBR",0.848,55
"41","AUSTIN MARTIN","CF","MIN",0.848,56
"42","STEVEN KWAN","CF","CLE",0.848,57
"43","ELLY DE LA CRUZ","SS","CIN",0.496,59
"44","ROYCE LEWIS","SS","MIN",0.697,62
"45","BRETT BATY","3B","NYM",0.546,63
"46","MARK VIENTOS","3B","NYM",0.596,64
"47","GUNNAR HENDERSON","3B","BAL",0.546,66
"48","EZEQUIEL DURAN","3B","TEX",0.596,68
"49","COBY MAYO","RF","BAL",0.596,69
"50","SHEA LANGELIERS","C","ATL",0.848,70
"51","ZAC VEEN","RF","COL",0.596,71
"52","CRISTIAN PACHE","CF","ATL",0.798,72
"53","JASSON DOMINGUEZ","CF","NYY",0.496,73
"54","IVAN HERRERA","C","STL",0.697,75
"55","PATRICK BAILEY","C","SFG",0.747,76
"56","GREG JONES","CF","TBR",0.798,77
"57","JOEY WIEMER","RF","MIL",0.546,78
"58","MICHAEL BUSCH","2B","LAD",0.647,79
"59","JORDAN LAWLAR","SS","ARI",0.546,81
"60","GERALDO PERDOMO","SS","ARI",0.848,83
"61","JOSE MIRANDA","2B","MIN",0.646,85
"62","ANDY PAGES","CF","LAD",0.546,86
"63","KEVIN ALCANTARA","CF","CHC",0.495,87
"64","JOSH H SMITH","2B","TEX",0.848,89
"65","LIOVER PEGUERO","SS","PIT",0.647,90
"66","GABRIEL ARIAS","SS","CLE",0.747,92
"67","ALEXANDER VARGAS","SS","NYY",0.546,93
"68","KOREY LEE","C","HOU",0.671,97
"69","BRADY HOUSE","3B","WSN",0.495,98
"70","HELIOT RAMOS","RF","SFG",0.595,99
"71","NOLAN JONES","LF","CLE",0.646,101
"72","GEORGE VALERA","RF","CLE",0.546,103
"73","OWEN CAISSIE","LF","CHC",0.545,104
"74","NICK GONZALES","2B","PIT",0.647,105
"75","JAMES TRIANTOS","2B","CHC",0.571,106
"76","DILLON DINGLER","C","DET",0.672,108
"77","TYLER FREEMAN","2B","CLE",0.772,109
"78","XAVIER EDWARDS","2B","TBR",0.646,110
"79","VINNIE PASQUANTINO","1B","KCR",0.747,111
"80","HERIBERTO HERNANDEZ","LF","TBR",0.647,112
"81","JOEY BART","C","SFG",0.747,113
"82","REGINALD PRECIADO","3B","CHC",0.495,114
"83","GRAYSON RODRIGUEZ","SP","BAL",0.849,3
"84","SHANE BAZ","SP","TBR",0.773,11
"85","MICK ABEL","SP","PHI",0.646,20
"86","JACK LEITER","SP","TEX",0.748,24
"87","DL HALL","SP","BAL",0.747,27
"88","GEORGE KIRBY","SP","SEA",0.798,28
"89","HUNTER GREENE","SP","CIN",0.722,31
"90","JACKSON JOBE","SP","DET",0.596,33
"91","KYLE HARRISON","SP","SFG",0.697,38
"92","ROANSY CONTRERAS","SP","PIT",0.672,41
"93","REID DETMETRS","SP","LAA",0.747,42
"94","AARON ASHBY","MIRP","MIL",0.646,46
"95","NICK LODOLO","SP","CIN",0.697,51
"96","COLE WINN","SP","TEX",0.672,52
"97","DANIEL ESPINO","SP","CLE",0.697,54
"98","MAX MEYER","SP","MIA",0.747,58
"99","LUIS MEDINA","MIRP","NYY",0.646,60
"100","BRANDON WILLIAMSON","MIRP","SEA",0.646,61
"101","MATTHEW LIBERATORE","SP","STL",0.697,65
"102","EURY PEREZ","SP","MIA",0.596,67
"103","CADE CAVALLI","SP","WSN",0.595,74
"104","SIXTO SANCHEZ","SP","MIA",0.748,80
"105","COLE HENRY","SIRP","WSN",0.646,82
"106","OWEN WHITE","SP","TEX",0.646,84
"107","JOSH WINDER","SP","MIN",0.697,88
"108","JORDAN BALAZOVIC","SP","MIN",0.596,91
"109","BOBBY MILLER","SP","LAD",0.595,94
"110","HUNTER BROWN","SP","HOU",0.495,95
"111","SETH JOHNSON","SP","TBR",0.469,96
"112","ASA LACY","SIRP","KCR",0.444,100
"113","QUINN PRIESTER","SP","PIT",0.545,102
"114","EDWARD CABRERA","SP","MIA",0.469,107
